index,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
389,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
390,F,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,15
391,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
392,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
393,M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
394,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
395,M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10
396,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
397,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
398,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
399,M,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,9
400,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
401,M,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
402,M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10
403,F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
404,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
405,I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
406,I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
407,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4
408,M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
409,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
410,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
411,F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12
412,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
413,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
414,M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9
415,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
416,I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
417,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
418,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7
419,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
420,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
421,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
422,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
423,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
424,M,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9
425,I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
426,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
427,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
428,F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
429,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
430,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9
431,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
432,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
433,I,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11
434,M,0.625,0.5,0.185,1.2425,0.5995,0.248,0.335,10
435,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
436,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14
437,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
438,I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8
439,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
440,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8
441,I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
442,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
443,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
444,M,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
445,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
446,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
447,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
448,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
449,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
450,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
451,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
452,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
453,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
454,F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
455,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
456,M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,12
457,M,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11
458,I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
459,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
460,I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
461,F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
462,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11
463,I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
464,I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4
465,M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
466,M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20
467,I,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
468,M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
469,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
470,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
471,F,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10
472,M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,9
473,I,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,6
474,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
475,M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
476,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
477,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
478,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
479,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15
480,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
481,M,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
482,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
483,I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
484,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
485,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
486,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
487,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8
488,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
489,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8
490,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
491,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
492,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
493,I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
494,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
495,I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6
496,M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
497,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
498,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
499,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13
500,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
501,M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
502,I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
503,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
504,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
505,M,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8
506,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
507,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
508,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
509,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
510,F,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11
511,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
512,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
513,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
514,I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
515,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
516,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8
517,M,0.5,0.39,0.13,0.709,0.275,0.168,0.18,11
518,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
519,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
520,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
521,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
522,F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10
523,F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12
524,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
525,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
526,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
527,F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
528,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
529,F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
530,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
531,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
532,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
533,I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
534,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
535,M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
536,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
537,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
538,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
539,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
540,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
541,F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10
542,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
543,F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11
544,M,0.55,0.41,0.15,0.785,0.282,0.186,0.275,12
545,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
546,F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,11
547,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
548,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
549,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
550,I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
551,I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9
552,F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
553,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
554,M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
555,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
556,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
557,M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
558,M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
559,F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
560,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
561,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
562,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
563,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
564,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
565,F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17
566,F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
567,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
568,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
569,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
570,M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
571,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
572,I,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,9
573,I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
574,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8
575,M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
576,M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10
577,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
578,M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
579,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
580,I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6
581,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14
582,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
583,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
584,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
585,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
586,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
587,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
588,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
589,F,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,9
590,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
591,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
592,I,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8
593,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
594,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
595,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
596,F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
597,F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
598,I,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
599,F,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,7
600,F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
601,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
602,M,0.61,0.475,0.175,1.024,0.409,0.261,0.322,9
603,I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10
604,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
605,M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14
606,M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10
607,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
608,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13
609,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
610,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
611,M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
612,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
613,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
614,M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,12
615,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,9
616,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
617,M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11
618,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
619,I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
620,F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
621,F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10
622,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
623,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
624,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
625,M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
626,M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
627,M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
628,I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
629,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
630,F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
631,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
632,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8
633,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
634,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
635,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
636,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
637,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
638,F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12
639,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
640,F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,10
641,F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11
642,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
643,F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
644,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
645,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
646,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
647,M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
648,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
649,I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
650,M,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
651,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
652,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
653,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
654,M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
655,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7
656,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,10
657,M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
658,I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
659,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
660,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
661,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
662,M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
663,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
664,M,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9
665,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7
666,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
667,F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7
668,I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,6
669,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
670,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
671,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8
672,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
673,I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
674,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
675,M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
676,M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
677,F,0.65,0.515,0.215,1.498,0.564,0.323,0.425,16
678,M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
679,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
680,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
681,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
682,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
683,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
684,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
685,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
686,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
687,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
688,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
689,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
690,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
691,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
692,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
693,F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
694,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11
695,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
696,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
697,M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
698,I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,7
699,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
700,F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
701,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
702,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
703,M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
704,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
705,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
706,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
707,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
708,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
709,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
710,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
711,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12
712,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
713,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
714,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
715,I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
716,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
717,F,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
718,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
719,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
720,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
721,F,0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11
722,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
723,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
724,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
725,I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
726,M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
727,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12
728,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
729,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
730,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
731,M,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12
732,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
733,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
734,M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
735,M,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10
736,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
737,F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
738,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
739,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
740,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
741,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
742,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
743,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
744,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
745,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
746,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
747,F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9
748,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
749,M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
750,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
751,I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
752,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
753,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
754,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
755,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11
756,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
757,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
758,I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3
759,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
760,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
761,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
762,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
763,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
764,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
765,M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
766,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
767,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16
768,F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,14
769,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
770,M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12
771,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
772,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
773,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8
774,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
775,M,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11
776,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
777,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
778,I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6
779,M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
